2023-12-10 19:11:00,831 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 19:11:09,389 INFO step 0: tp = 9.0, fp = 13.0, tn = 5.0, fn = 5.0, acc = 0.4375, mcc = -0.084941 
2023-12-10 19:11:21,084 INFO step 1: tp = 12.0, fp = 7.0, tn = 6.0, fn = 7.0, acc = 0.5625, mcc = 0.093117 
2023-12-10 19:11:30,850 INFO step 2: tp = 8.0, fp = 5.0, tn = 10.0, fn = 9.0, acc = 0.5625, mcc = 0.139460 
2023-12-10 19:11:37,833 INFO step 3: tp = 12.0, fp = 6.0, tn = 7.0, fn = 7.0, acc = 0.5938, mcc = 0.168345 
2023-12-10 19:11:47,155 INFO step 4: tp = 12.0, fp = 5.0, tn = 6.0, fn = 9.0, acc = 0.5625, mcc = 0.111247 
2023-12-10 19:11:50,817 INFO step 5: tp = 5.0, fp = 11.0, tn = 8.0, fn = 8.0, acc = 0.4062, mcc = -0.190885 
2023-12-10 19:11:54,025 INFO step 6: tp = 8.0, fp = 11.0, tn = 9.0, fn = 4.0, acc = 0.5312, mcc = 0.115002 
2023-12-10 19:11:57,991 INFO step 7: tp = 10.0, fp = 6.0, tn = 7.0, fn = 9.0, acc = 0.5312, mcc = 0.063628 
2023-12-10 19:12:02,493 INFO step 8: tp = 9.0, fp = 9.0, tn = 4.0, fn = 10.0, acc = 0.4062, mcc = -0.216444 
2023-12-10 19:12:07,128 INFO step 9: tp = 9.0, fp = 5.0, tn = 9.0, fn = 9.0, acc = 0.5625, mcc = 0.142857 
2023-12-10 19:12:10,722 INFO step 10: tp = 7.0, fp = 14.0, tn = 6.0, fn = 5.0, acc = 0.4062, mcc = -0.118918 
2023-12-10 19:12:14,092 INFO step 11: tp = 10.0, fp = 11.0, tn = 5.0, fn = 6.0, acc = 0.4688, mcc = -0.065795 
2023-12-10 19:12:17,941 INFO step 12: tp = 13.0, fp = 7.0, tn = 4.0, fn = 8.0, acc = 0.5312, mcc = -0.016988 
2023-12-10 19:12:22,321 INFO step 13: tp = 13.0, fp = 8.0, tn = 3.0, fn = 8.0, acc = 0.5000, mcc = -0.108225 
2023-12-10 19:12:25,136 INFO step 14: tp = 15.0, fp = 8.0, tn = 4.0, fn = 5.0, acc = 0.5938, mcc = 0.089730 
