2023-12-10 15:39:58,355 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 15:40:09,702 INFO step 0: tp = 9.0, fp = 13.0, tn = 5.0, fn = 5.0, acc = 0.4375, mcc = -0.084941 
2023-12-10 15:40:24,207 INFO step 1: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:40:34,719 INFO step 2: tp = 11.0, fp = 5.0, tn = 10.0, fn = 6.0, acc = 0.6562, mcc = 0.313112 
2023-12-10 15:40:44,059 INFO step 3: tp = 15.0, fp = 7.0, tn = 6.0, fn = 4.0, acc = 0.6562, mcc = 0.265970 
2023-12-10 15:40:53,939 INFO step 4: tp = 14.0, fp = 9.0, tn = 2.0, fn = 7.0, acc = 0.5000, mcc = -0.160058 
2023-12-10 15:40:59,554 INFO step 5: tp = 11.0, fp = 15.0, tn = 4.0, fn = 2.0, acc = 0.4688, mcc = 0.071321 
2023-12-10 15:41:04,264 INFO step 6: tp = 9.0, fp = 11.0, tn = 9.0, fn = 3.0, acc = 0.5625, mcc = 0.200000 
2023-12-10 15:41:09,381 INFO step 7: tp = 2.0, fp = 2.0, tn = 11.0, fn = 17.0, acc = 0.4062, mcc = -0.072148 
2023-12-10 15:41:14,572 INFO step 8: tp = 3.0, fp = 5.0, tn = 8.0, fn = 16.0, acc = 0.3438, mcc = -0.257151 
2023-12-10 15:41:20,079 INFO step 9: tp = 13.0, fp = 10.0, tn = 4.0, fn = 5.0, acc = 0.5312, mcc = 0.008757 
2023-12-10 15:41:24,347 INFO step 10: tp = 12.0, fp = 17.0, tn = 3.0, fn = 0.0, acc = 0.4688, mcc = 0.249136 
2023-12-10 15:41:27,775 INFO step 11: tp = 10.0, fp = 7.0, tn = 9.0, fn = 6.0, acc = 0.5938, mcc = 0.187867 
2023-12-10 15:41:31,961 INFO step 12: tp = 6.0, fp = 6.0, tn = 5.0, fn = 15.0, acc = 0.3438, mcc = -0.254824 
2023-12-10 15:41:37,185 INFO step 13: tp = 7.0, fp = 1.0, tn = 10.0, fn = 14.0, acc = 0.5312, mcc = 0.265908 
2023-12-10 15:41:39,942 INFO step 14: tp = 16.0, fp = 8.0, tn = 4.0, fn = 4.0, acc = 0.6250, mcc = 0.149071 
2023-12-10 15:41:43,159 INFO step 15: tp = 18.0, fp = 11.0, tn = 2.0, fn = 1.0, acc = 0.6250, mcc = 0.170542 
2023-12-10 15:41:48,586 INFO step 16: tp = 18.0, fp = 14.0, tn = 0.0, fn = 0.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 15:41:53,726 INFO step 17: tp = 13.0, fp = 18.0, tn = 0.0, fn = 1.0, acc = 0.4062, mcc = -0.203653 
2023-12-10 15:41:59,375 INFO step 18: tp = 2.0, fp = 4.0, tn = 20.0, fn = 6.0, acc = 0.6875, mcc = 0.092450 
2023-12-10 15:42:02,748 INFO step 19: tp = 0.0, fp = 0.0, tn = 14.0, fn = 18.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 15:42:06,989 INFO step 20: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:42:07,207 INFO step/epoch: 20/1, training samples: 672, train_loss = 5.7356 train_acc = 0.507440
2023-12-10 15:42:10,251 INFO step 21: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:42:13,661 INFO step 22: tp = 1.0, fp = 3.0, tn = 13.0, fn = 15.0, acc = 0.4375, mcc = -0.188982 
2023-12-10 15:42:16,359 INFO step 23: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 15:42:20,588 INFO step 24: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 15:42:23,196 INFO step 25: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 15:42:26,648 INFO step 26: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 15:42:30,344 INFO step 27: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 15:42:33,587 INFO step 28: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 15:42:37,281 INFO step 29: tp = 14.0, fp = 18.0, tn = 0.0, fn = 0.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 15:42:40,094 INFO step 30: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:42:42,908 INFO step 31: tp = 0.0, fp = 0.0, tn = 18.0, fn = 14.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 15:42:45,352 INFO step 32: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:42:48,370 INFO step 33: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:42:51,359 INFO step 34: tp = 0.0, fp = 0.0, tn = 19.0, fn = 13.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 15:42:53,984 INFO step 35: tp = 0.0, fp = 0.0, tn = 12.0, fn = 20.0, acc = 0.3750, mcc = 0.000000 
2023-12-10 15:42:56,592 INFO step 36: tp = 0.0, fp = 0.0, tn = 11.0, fn = 21.0, acc = 0.3438, mcc = 0.000000 
2023-12-10 15:42:59,240 INFO step 37: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 15:43:01,650 INFO step 38: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:43:04,907 INFO step 39: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:43:06,758 INFO step 40: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:43:06,890 INFO step/epoch: 40/1, training samples: 1312, train_loss = 1.7510 train_acc = 0.500762
2023-12-10 15:43:09,143 INFO step 41: tp = 20.0, fp = 12.0, tn = 0.0, fn = 0.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 15:43:11,753 INFO step 42: tp = 15.0, fp = 17.0, tn = 0.0, fn = 0.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:43:14,188 INFO step 43: tp = 11.0, fp = 21.0, tn = 0.0, fn = 0.0, acc = 0.3438, mcc = 0.000000 
2023-12-10 15:43:16,615 INFO step 44: tp = 0.0, fp = 0.0, tn = 16.0, fn = 16.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 15:43:18,858 INFO step 45: tp = 0.0, fp = 0.0, tn = 10.0, fn = 22.0, acc = 0.3125, mcc = 0.000000 
2023-12-10 15:43:20,779 INFO step 46: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:43:23,055 INFO step 47: tp = 0.0, fp = 0.0, tn = 19.0, fn = 13.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 15:43:25,916 INFO step 48: tp = 0.0, fp = 0.0, tn = 15.0, fn = 17.0, acc = 0.4688, mcc = 0.000000 
2023-12-10 15:43:28,042 INFO step 49: tp = 0.0, fp = 0.0, tn = 17.0, fn = 15.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 15:43:29,716 INFO step 50: tp = 0.0, fp = 0.0, tn = 16.0, fn = 16.0, acc = 0.5000, mcc = 0.000000 
2023-12-10 15:43:31,553 INFO step 51: tp = 14.0, fp = 18.0, tn = 0.0, fn = 0.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 15:43:33,378 INFO step 52: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 15:43:35,313 INFO step 53: tp = 18.0, fp = 14.0, tn = 0.0, fn = 0.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 15:43:36,995 INFO step 54: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:43:38,813 INFO step 55: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:43:40,821 INFO step 56: tp = 0.0, fp = 0.0, tn = 14.0, fn = 18.0, acc = 0.4375, mcc = 0.000000 
2023-12-10 15:43:42,390 INFO step 57: tp = 0.0, fp = 0.0, tn = 21.0, fn = 11.0, acc = 0.6562, mcc = 0.000000 
2023-12-10 15:43:44,086 INFO step 58: tp = 0.0, fp = 0.0, tn = 13.0, fn = 19.0, acc = 0.4062, mcc = 0.000000 
2023-12-10 15:43:45,459 INFO step 59: tp = 0.0, fp = 0.0, tn = 18.0, fn = 14.0, acc = 0.5625, mcc = 0.000000 
2023-12-10 15:43:46,619 INFO step 60: tp = 0.0, fp = 0.0, tn = 11.0, fn = 21.0, acc = 0.3438, mcc = 0.000000 
2023-12-10 15:43:46,753 INFO step/epoch: 60/1, training samples: 1952, train_loss = 1.3610 train_acc = 0.494365
2023-12-10 15:43:48,387 INFO step 61: tp = 0.0, fp = 0.0, tn = 20.0, fn = 12.0, acc = 0.6250, mcc = 0.000000 
2023-12-10 15:43:50,146 INFO step 62: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
2023-12-10 15:43:51,651 INFO step 63: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-10 15:43:53,359 INFO step 64: tp = 12.0, fp = 20.0, tn = 0.0, fn = 0.0, acc = 0.3750, mcc = 0.000000 
2023-12-10 15:43:55,272 INFO step 65: tp = 11.0, fp = 21.0, tn = 0.0, fn = 0.0, acc = 0.3438, mcc = 0.000000 
2023-12-10 15:43:57,085 INFO step 66: tp = 19.0, fp = 13.0, tn = 0.0, fn = 0.0, acc = 0.5938, mcc = 0.000000 
